   Current data set:
   NAME =	Styrene_C6D6	EXPNO =	1000	PROCNO = 1
   DU   =	D:/data/dpx300/nmr

   Number   Integrated Region     Integral
     1      6.753      6.689         1.00054
     2      6.628      6.488         1.46802
     3      6.117      6.106         0.11026
     4      6.081      6.071         0.11654
     5      6.060      6.048         0.12490
     6      6.023      6.012         0.13106
     7      5.117      5.110         0.27125
     8      5.059      5.051         0.24112
     9      4.580      4.566         0.26094
    10      4.543      4.529         0.24834
