N=10: closed subgroup classes = 282 (productive rounds: 4, 123.0s)
  orders: 1(x1) 2(x5) 3(x2) 4(x17) 5(x1) 6(x10) 8(x29) 10(x3) 12(x15) 14(x1) 16(x26) 18(x3) 20(x4) 24(x18) 28(x1) 32(x16) 36(x4) 40(x2) 48(x17) 60(x1) 64(x8) 72(x8) 80(x1) 84(x1) 96(x9) 100(x1) 120(x4) 128(x4) 144(x9) 192(x6) 200(x1) 216(x1) 240(x4) 256(x1) 288(x7) 320(x1) 384(x3) 432(x1) 480(x2) 576(x2) 720(x2) 768(x1) 864(x1) 960(x1) 1152(x4) 1200(x1) 1296(x1) 1440(x3) 1728(x1) 2304(x1) 2880(x3) 3840(x1) 4320(x1) 5040(x1) 5760(x1) 10080(x1) 14400(x1) 17280(x1) 28800(x1) 30240(x1) 40320(x1) 80640(x1) 362880(x1) 3628800(x1)
--- order 1 (x1) ---
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 
--- order 2 (x5) ---
0 0 1 2 3 3 4 5 6 7 4 6 5 7 8 9 10 11 12 13 14 9 11 10 12 14 13 15 16 17 18 19 20 21 22 23 16 18 17 19 21 20 23 22 24 
0 0 1 2 3 3 4 5 5 6 7 8 8 9 10 11 12 12 13 14 15 16 17 17 18 19 20 21 22 23 23 24 25 26 27 28 29 30 30 31 32 33 34 35 36 
0 0 1 2 3 3 4 5 5 6 7 8 8 9 10 11 12 13 14 15 16 11 13 12 14 15 16 17 18 19 20 21 22 23 24 25 18 20 19 21 22 23 25 24 26 
0 1 2 2 1 3 4 5 6 7 5 4 7 6 8 9 10 11 12 13 14 10 9 12 11 14 13 15 16 17 18 19 20 21 22 23 17 16 19 18 21 20 23 22 24 
0 0 1 2 3 3 4 5 5 6 7 8 8 9 10 11 12 12 13 14 15 16 17 17 18 19 20 21 22 23 24 25 26 27 28 29 22 24 23 25 26 27 28 29 30 
--- order 3 (x2) ---
0 0 0 1 1 1 2 3 4 5 3 4 2 5 6 4 2 3 5 6 6 7 8 9 10 11 12 13 8 9 7 10 13 11 12 14 9 7 8 10 12 13 11 14 14 
0 0 0 1 1 1 2 2 2 3 4 4 4 5 6 7 7 7 8 9 10 11 12 13 14 15 16 17 12 13 11 14 15 16 17 18 13 11 12 14 15 16 17 18 18 
--- order 4 (x17) ---
