N=11: closed subgroup classes = 394 (productive rounds: 4, 175.4s)
  orders: 1(x1) 2(x5) 3(x2) 4(x17) 5(x1) 6(x13) 8(x29) 10(x3) 12(x20) 14(x1) 16(x26) 18(x3) 20(x5) 22(x1) 24(x25) 28(x2) 30(x1) 32(x16) 36(x8) 40(x4) 48(x27) 56(x2) 60(x3) 64(x8) 72(x12) 80(x4) 84(x1) 96(x18) 100(x1) 112(x1) 120(x5) 128(x4) 144(x12) 160(x1) 192(x10) 200(x1) 216(x1) 240(x5) 256(x1) 288(x9) 320(x1) 336(x1) 360(x2) 384(x5) 432(x3) 480(x6) 576(x5) 720(x5) 768(x2) 864(x2) 960(x4) 1152(x5) 1200(x1) 1296(x1) 1440(x4) 1728(x1) 1920(x1) 2304(x2) 2592(x1) 2880(x3) 3456(x1) 3840(x1) 4320(x2) 5040(x1) 5760(x3) 6912(x1) 7200(x1) 8640(x2) 10080(x2) 14400(x1) 17280(x1) 20160(x2) 28800(x1) 30240(x1) 40320(x2) 80640(x1) 86400(x1) 120960(x1) 241920(x1) 362880(x1) 725760(x1) 3628800(x1) 39916800(x1)
--- order 1 (x1) ---
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 
--- order 2 (x5) ---
0 0 1 2 3 3 4 5 5 6 7 8 8 9 10 11 12 12 13 14 15 16 17 18 19 20 21 22 16 18 17 19 20 21 22 23 24 25 26 27 28 29 30 31 32 24 26 25 27 28 29 30 32 31 33 
0 0 1 2 3 4 2 4 3 5 6 7 8 9 10 6 8 7 10 9 11 12 13 14 15 16 17 18 12 14 13 16 15 18 17 19 20 21 22 23 24 25 26 27 28 20 22 21 24 23 26 25 28 27 29 
0 0 1 2 3 3 4 5 5 6 7 8 8 9 10 11 12 12 13 14 15 16 17 17 18 19 20 21 22 23 23 24 25 26 27 28 29 30 30 31 32 33 34 35 36 37 38 38 39 40 41 42 43 44 45 
0 0 1 2 3 3 4 5 5 6 7 8 9 10 11 7 9 8 10 11 12 13 14 15 16 17 18 19 13 15 14 16 17 19 18 20 21 22 23 24 25 26 27 28 29 21 23 22 24 25 27 26 29 28 30 
0 0 1 2 3 3 4 5 5 6 7 8 8 9 10 11 12 12 13 14 15 16 17 17 18 19 20 21 22 23 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 29 31 30 32 33 34 35 36 37 38 
--- order 3 (x2) ---
0 0 0 1 1 1 2 2 2 3 4 4 4 5 6 7 7 7 8 9 10 11 11 11 12 13 14 15 16 17 18 19 20 21 22 23 17 18 16 19 20 21 22 23 24 18 16 17 19 20 21 22 23 24 24 
0 0 0 1 1 1 2 2 2 3 4 5 6 7 8 5 6 4 7 8 9 6 4 5 7 8 9 9 10 11 12 13 14 15 16 17 11 12 10 13 14 17 15 16 18 12 10 11 13 14 16 17 15 18 18 
--- order 4 (x17) ---
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 7 7 8 9 10 10 10 10 11 12 13 14 14 14 14 15 16 17 18 19 19 19 19 20 21 22 23 24 25 25 25 25 26 27 28 29 30 
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 7 7 8 9 10 10 10 10 11 12 13 14 14 14 14 15 16 17 18 19 19 20 20 21 22 23 24 18 20 20 19 19 21 22 23 24 25 
0 0 1 0 2 3 0 3 2 1 4 5 5 6 6 4 6 6 5 5 7 8 9 10 9 10 11 11 8 10 9 10 9 11 11 12 13 14 15 15 14 16 16 17 17 13 15 14 14 15 16 16 17 17 18 
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 7 7 8 9 10 10 11 11 12 13 9 11 11 10 10 12 13 14 15 16 16 17 17 18 19 20 21 15 17 17 16 16 18 19 21 20 22 
0 0 1 2 0 0 3 4 4 3 5 6 6 7 8 7 6 6 5 8 9 10 11 11 12 13 14 15 12 11 11 10 13 15 14 16 17 18 19 17 20 21 21 22 22 17 19 18 17 20 21 21 22 22 23 
0 0 1 0 2 3 0 3 2 1 4 5 5 6 6 4 6 6 5 5 7 8 9 9 10 10 11 12 8 10 10 9 9 12 11 13 14 15 15 16 16 17 18 19 20 14 16 16 15 15 18 17 20 19 21 
0 0 1 2 0 0 3 4 4 3 5 6 6 5 7 8 9 9 8 10 11 12 13 13 12 14 15 16 17 18 18 17 19 20 21 22 23 24 24 23 25 26 27 28 29 30 31 31 30 32 33 34 35 36 37 
0 0 1 0 2 3 0 3 2 1 4 5 5 6 6 4 6 6 5 5 7 8 9 10 11 12 13 14 8 10 9 12 11 13 14 15 8 11 12 9 10 14 13 16 17 8 12 11 10 9 14 13 17 16 15 
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 7 7 8 9 10 10 11 11 12 13 9 11 11 10 10 12 13 14 15 16 17 16 17 18 19 20 20 15 17 16 17 16 18 19 20 20 21 
0 0 1 0 2 3 0 3 2 1 4 5 5 6 6 4 6 6 5 5 7 8 9 9 10 10 11 12 8 10 10 9 9 12 11 13 14 15 16 15 16 17 17 18 18 14 16 15 16 15 17 17 18 18 19 
0 0 1 2 0 0 3 4 4 3 5 6 6 7 8 7 6 6 5 8 9 10 11 11 12 13 14 15 12 11 11 10 13 15 14 16 17 18 18 19 20 21 22 23 24 19 18 18 17 20 22 21 24 23 25 
0 0 1 0 1 2 0 2 1 1 3 4 5 5 4 3 5 4 4 5 6 7 8 9 10 11 12 13 7 9 11 8 10 13 12 14 7 10 8 11 9 13 12 14 15 7 11 10 9 8 12 13 15 14 14 
0 0 1 2 0 0 3 4 4 3 5 6 6 5 7 8 9 9 8 10 11 12 13 13 12 14 15 16 17 18 18 17 19 20 21 22 23 24 24 25 26 27 28 29 30 25 24 24 23 26 27 28 29 30 31 
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 7 7 8 9 10 11 12 13 14 15 9 11 10 13 12 14 15 16 9 12 13 10 11 14 15 17 18 9 13 12 11 10 14 15 18 17 16 
0 0 1 2 0 0 3 4 4 3 5 6 6 5 7 8 9 9 8 10 11 12 13 13 14 15 16 17 14 13 13 12 15 16 17 18 19 20 20 21 22 23 24 25 26 21 20 20 19 22 23 24 26 25 27 
0 0 1 0 1 2 0 2 1 1 3 4 4 4 4 5 6 6 6 6 7 8 9 10 11 12 13 14 8 10 12 9 11 13 14 15 8 11 9 12 10 13 14 15 16 8 12 11 10 9 13 14 16 15 15 
0 0 1 2 0 0 3 4 4 3 5 6 6 5 7 8 9 9 8 10 11 12 13 13 14 15 16 17 14 13 13 12 15 16 17 18 19 20 21 19 22 23 24 25 25 19 21 20 19 22 23 24 25 25 26 
--- order 5 (x1) ---
0 0 1 0 1 2 0 2 1 2 0 2 2 1 1 3 4 5 6 7 8 3 5 7 4 8 6 9 3 6 4 8 5 7 9 10 3 7 8 5 6 4 10 9 10 3 8 6 7 4 5 10 10 9 9 
--- order 6 (x13) ---
0 0 0 1 1 1 2 2 2 3 4 4 4 5 6 7 7 7 8 9 10 11 11 11 12 13 14 15 16 17 18 1 2 4 7 11 17 18 16 1 2 4 7 11 0 18 16 17 1 2 4 7 11 0 0 
0 0 0 1 1 1 2 2 2 3 4 4 4 3 5 6 6 6 7 8 9 10 10 10 7 9 8 11 12 13 14 1 4 2 10 6 13 14 12 1 4 2 10 6 0 14 12 13 1 4 2 10 6 0 0 
0 0 0 1 1 1 2 2 2 3 4 4 4 3 5 6 6 6 7 8 8 9 9 9 10 11 11 12 13 14 15 1 4 2 6 9 14 15 13 1 4 2 6 9 0 15 13 14 1 4 2 6 9 0 0 
0 0 0 1 1 1 2 2 2 3 4 4 4 5 6 7 7 7 8 9 10 11 11 11 12 13 14 15 16 16 17 18 19 20 21 22 16 17 16 18 19 20 21 22 23 17 16 16 18 19 20 21 22 23 23 
0 0 0 1 1 1 1 1 1 2 3 3 3 4 4 5 5 5 6 6 7 8 8 8 9 9 10 11 12 13 14 15 15 16 17 18 13 14 12 15 15 16 17 18 19 14 12 13 15 15 16 17 18 19 19 
0 0 0 1 1 1 2 2 2 3 4 5 6 1 2 5 6 4 1 2 0 6 4 5 1 2 0 0 7 8 9 10 11 7 8 9 8 9 7 10 11 9 7 8 12 9 7 8 10 11 8 9 7 12 12 
0 0 0 1 1 1 1 1 1 2 3 4 5 6 7 3 5 4 7 6 8 4 3 5 7 6 9 10 4 5 3 6 7 10 9 11 5 3 4 6 7 10 11 8 10 5 4 3 7 6 11 10 10 8 9 
0 0 0 1 1 1 1 1 1 2 3 4 5 6 7 3 4 5 7 6 8 4 5 3 6 7 9 10 4 5 3 7 6 10 9 8 5 3 4 6 7 9 10 9 10 5 3 4 7 6 10 9 10 9 8 
0 0 0 1 1 1 1 1 1 2 3 4 5 6 6 4 5 3 6 6 7 5 3 4 6 6 7 7 8 9 10 11 11 12 13 14 9 10 8 11 11 14 12 13 15 10 8 9 11 11 13 14 12 15 15 
0 0 0 1 1 1 2 2 2 3 4 4 4 5 6 7 7 7 8 9 10 11 11 11 12 13 14 15 16 16 16 17 18 19 20 21 22 22 22 23 24 25 26 27 28 29 29 29 30 31 32 33 34 35 36 
0 0 0 1 1 1 2 2 2 3 4 4 5 6 7 4 5 4 6 7 8 5 4 4 6 7 8 8 9 9 10 11 12 13 14 14 9 10 9 11 12 14 13 14 15 10 9 9 11 12 14 14 13 15 15 
0 0 0 1 1 1 1 1 1 2 3 3 3 4 4 5 5 5 6 7 8 5 5 5 7 6 8 9 10 11 12 13 13 14 15 15 11 12 10 13 13 14 15 15 16 12 10 11 13 13 14 15 15 16 16 
0 0 0 1 1 1 2 2 2 3 4 4 5 1 2 4 5 4 1 2 0 5 4 4 1 2 0 0 6 7 8 9 10 8 7 6 7 8 6 9 10 6 8 7 11 8 6 7 9 10 7 6 8 11 11 
--- order 8 (x29) ---
0 0 1 0 2 3 0 3 2 1 4 0 0 0 0 5 6 6 6 6 5 7 8 8 8 8 9 10 9 8 8 8 8 7 10 11 12 13 13 13 13 14 15 16 17 14 13 13 13 13 12 15 17 16 18 
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 7 7 8 9 10 10 11 11 12 13 9 10 10 11 11 12 13 14 9 11 11 10 10 12 13 15 16 9 11 11 10 10 12 13 16 15 14 
0 0 1 0 2 3 0 3 2 1 4 0 0 0 0 5 6 6 6 6 5 7 8 8 8 8 7 9 10 11 11 11 11 10 12 13 14 15 15 16 16 14 17 18 19 14 16 16 15 15 14 17 18 19 20 
