N=12: closed subgroup classes = 948 (productive rounds: 5, 6077.6s)
  orders: 1(x1) 2(x6) 3(x3) 4(x29) 5(x1) 6(x20) 8(x69) 9(x3) 10(x5) 12(x36) 14(x1) 16(x80) 18(x11) 20(x9) 22(x1) 24(x50) 28(x2) 30(x1) 32(x63) 36(x18) 40(x6) 48(x54) 56(x2) 60(x3) 64(x44) 72(x20) 80(x4) 84(x1) 96(x39) 100(x1) 108(x3) 112(x1) 120(x7) 128(x24) 140(x1) 144(x26) 160(x1) 168(x1) 192(x27) 200(x3) 216(x6) 240(x10) 256(x11) 288(x25) 320(x1) 336(x1) 360(x2) 384(x21) 400(x1) 432(x8) 480(x8) 512(x5) 576(x14) 640(x1) 648(x1) 720(x6) 768(x9) 864(x3) 960(x4) 1024(x1) 1152(x9) 1200(x1) 1296(x3) 1440(x8) 1536(x4) 1680(x1) 1728(x4) 1920(x1) 2160(x1) 2304(x9) 2400(x1) 2592(x3) 2880(x7) 3072(x3) 3456(x3) 3840(x1) 4320(x4) 4608(x5) 5040(x1) 5184(x2) 5760(x7) 6912(x1) 7200(x1) 7680(x1) 7776(x1) 8640(x3) 9216(x2) 10080(x2) 10368(x1) 11520(x1) 13824(x1) 14400(x1) 17280(x2) 20160(x2) 25920(x1) 27648(x1) 28800(x3) 30240(x1) 31104(x1) 34560(x2) 40320(x2) 46080(x1) 50400(x1) 51840(x1) 57600(x1) 60480(x1) 80640(x2) 82944(x1) 86400(x1) 120960(x1) 161280(x2) 241920(x1) 322560(x1) 362880(x1) 518400(x1) 604800(x1) 725760(x1) 967680(x1) 1036800(x1) 2177280(x1) 3628800(x1) 7257600(x1) 39916800(x1) 479001600(x1)
--- order 1 (x1) ---
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 
--- order 2 (x6) ---
0 0 1 2 3 3 4 5 5 6 7 8 8 9 10 11 12 13 14 15 16 11 13 12 14 15 16 17 18 19 20 21 22 23 24 25 18 20 19 21 22 23 25 24 26 27 28 29 30 31 32 33 34 35 36 27 29 28 30 31 32 34 33 36 35 37 
0 0 1 2 3 3 4 5 5 6 7 8 8 9 10 11 12 12 13 14 15 16 17 17 18 19 20 21 22 23 24 25 26 27 28 29 22 24 23 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 31 33 32 34 35 36 37 38 40 39 41 
0 0 1 2 3 3 4 5 6 7 4 6 5 7 8 9 10 11 12 13 14 9 11 10 12 14 13 15 16 17 18 19 20 21 22 23 16 18 17 19 21 20 23 22 24 25 26 27 28 29 30 31 32 33 34 25 27 26 28 30 29 32 31 34 33 35 
0 1 2 2 1 3 4 5 6 7 5 4 7 6 8 9 10 11 12 13 14 10 9 12 11 14 13 15 16 17 18 19 20 21 22 23 17 16 19 18 21 20 23 22 24 25 26 27 28 29 30 31 32 33 34 26 25 28 27 30 29 32 31 34 33 35 
0 0 1 2 3 3 4 5 5 6 7 8 8 9 10 11 12 12 13 14 15 16 17 17 18 19 20 21 22 23 23 24 25 26 27 28 29 30 30 31 32 33 34 35 36 37 38 38 39 40 41 42 43 44 45 46 47 47 48 49 50 51 52 53 54 55 
0 0 1 2 3 3 4 5 5 6 7 8 8 9 10 11 12 12 13 14 15 16 17 17 18 19 20 21 22 23 23 24 25 26 27 28 29 30 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 37 39 38 40 41 42 43 44 45 46 47 
--- order 3 (x3) ---
0 0 0 1 1 1 2 2 2 3 4 4 4 5 6 7 8 9 10 11 12 8 9 7 10 11 12 13 9 7 8 10 11 12 13 13 14 15 16 17 18 19 20 21 22 15 16 14 17 18 19 22 20 21 23 16 14 15 17 18 19 21 22 20 23 23 
0 0 0 1 2 3 2 3 1 4 3 1 2 4 4 5 6 7 8 9 10 6 7 5 10 8 9 11 7 5 6 9 10 8 11 11 12 13 14 15 16 17 18 19 20 13 14 12 17 15 16 20 18 19 21 14 12 13 16 17 15 19 20 18 21 21 
0 0 0 1 1 1 2 2 2 3 4 4 4 5 6 7 7 7 8 9 10 11 11 11 12 13 14 15 16 16 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 23 24 22 25 26 27 28 29 30 31 24 22 23 25 26 27 28 29 30 31 31 
--- order 4 (x29) ---
0 0 1 2 0 0 3 4 4 3 5 6 6 5 7 8 9 9 8 10 11 12 13 13 12 14 15 16 17 18 18 17 19 20 21 22 23 24 24 23 25 26 27 28 29 30 31 31 30 32 33 34 35 36 37 38 39 39 38 40 41 42 43 44 45 46 
0 1 2 2 1 0 3 4 5 6 4 3 6 5 7 5 6 3 4 8 9 6 5 4 3 9 8 7 10 11 12 13 14 15 16 17 11 10 13 12 15 14 17 16 18 12 13 10 11 16 17 14 15 19 20 13 12 11 10 17 16 15 14 20 19 18 
0 0 1 2 0 0 3 4 4 3 5 6 6 5 7 8 9 9 8 10 11 12 13 13 12 14 15 16 17 18 18 19 20 21 22 23 19 18 18 17 20 21 22 23 24 25 26 26 27 28 29 30 31 32 33 27 26 26 25 28 29 30 31 33 32 34 
0 0 1 2 0 0 3 4 4 5 5 4 4 3 6 7 8 8 9 10 11 9 8 8 7 11 10 12 13 14 15 13 16 16 17 17 13 15 14 13 16 16 17 17 18 19 20 21 19 22 22 23 23 24 25 19 21 20 19 22 22 23 23 25 24 26 
0 0 1 2 3 3 3 4 5 0 3 5 4 0 1 6 7 7 8 9 9 8 9 9 6 7 7 10 11 12 12 13 14 14 15 16 13 14 14 11 12 12 16 15 17 18 19 19 20 21 21 22 23 24 25 20 21 21 18 19 19 23 22 25 24 26 
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 7 7 8 9 10 10 10 10 11 12 13 14 14 15 15 16 17 18 13 15 15 14 14 16 17 18 19 20 21 21 22 22 23 24 25 26 27 20 22 22 21 21 23 24 25 27 26 28 
0 0 1 2 0 0 3 4 4 3 5 6 6 5 7 8 9 9 8 10 11 12 13 13 12 14 15 16 17 18 18 19 20 21 22 23 19 18 18 17 20 21 22 23 24 25 26 27 25 28 29 30 31 32 32 25 27 26 25 28 29 30 31 32 32 33 
0 0 1 2 3 3 3 4 5 0 3 5 4 0 1 6 7 7 8 9 9 8 9 9 6 7 7 10 11 12 13 14 15 16 17 18 11 13 12 14 16 15 17 18 19 14 15 16 11 12 13 18 17 20 21 14 16 15 11 13 12 18 17 21 20 19 
0 0 1 2 0 0 3 4 4 5 5 4 4 3 6 7 8 8 9 10 11 9 8 8 7 11 10 12 13 14 14 15 16 17 18 19 15 14 14 13 17 16 19 18 20 21 22 22 23 24 25 26 27 28 29 23 22 22 21 25 24 27 26 29 28 30 
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 8 8 9 6 8 8 7 7 9 10 11 12 12 13 13 14 15 16 11 13 13 12 12 14 16 15 17 18 19 20 19 20 21 22 22 23 23 18 20 19 20 19 21 22 22 23 23 24 
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 8 8 9 6 8 8 7 7 9 10 11 12 13 14 15 16 17 18 11 13 12 15 14 16 17 18 19 11 14 15 12 13 16 18 17 20 21 11 15 14 13 12 16 18 17 21 20 19 
0 0 1 2 0 0 3 4 5 6 3 5 4 6 7 6 4 5 3 8 9 6 5 4 3 9 8 7 10 11 12 13 14 15 16 17 10 12 11 13 15 14 17 16 18 13 11 12 10 16 17 14 15 19 20 13 12 11 10 17 16 15 14 20 19 18 
0 0 1 2 0 0 3 4 4 3 3 4 4 3 5 6 7 7 6 8 9 6 7 7 6 9 8 10 11 12 13 14 15 16 17 18 11 13 12 14 16 15 18 17 19 14 12 13 11 16 15 18 17 20 21 14 13 12 11 15 16 17 18 21 20 19 
0 0 1 2 0 0 3 4 4 3 5 6 6 5 7 8 9 9 10 11 12 10 9 9 8 11 12 13 14 15 15 16 17 18 19 20 16 15 15 14 17 18 20 19 21 22 23 23 24 25 26 27 28 29 30 24 23 23 22 25 26 28 27 30 29 31 
0 0 1 2 0 0 3 4 4 5 5 4 4 3 6 7 8 8 9 10 11 9 8 8 7 11 10 12 13 14 15 16 17 18 19 20 13 15 14 16 17 18 19 20 21 16 14 15 13 18 17 20 19 22 23 16 15 14 13 18 17 20 19 23 22 21 
0 0 1 2 0 0 3 4 4 3 5 6 6 5 7 8 9 9 8 10 11 12 13 13 12 14 15 16 17 18 18 17 19 20 21 22 23 24 24 23 25 26 27 28 29 30 31 31 32 33 34 35 36 37 38 32 31 31 30 33 34 35 36 37 38 39 
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 7 7 8 9 10 10 10 10 11 12 13 14 14 15 15 16 17 18 13 15 15 14 14 16 17 18 19 20 21 22 21 22 23 24 25 26 26 20 22 21 22 21 23 24 25 26 26 27 
0 0 1 0 2 3 0 3 2 1 4 5 5 5 5 6 7 7 8 8 9 6 8 8 7 7 9 10 11 12 12 13 13 14 15 16 11 13 13 12 12 14 16 15 17 18 19 19 20 20 21 22 23 24 25 18 20 20 19 19 21 23 22 25 24 26 
0 0 1 2 0 0 3 4 4 3 5 6 6 5 7 8 9 9 10 11 12 10 9 9 8 11 12 13 14 15 15 16 17 18 19 20 16 15 15 14 17 18 20 19 21 22 23 24 22 25 26 27 27 28 28 22 24 23 22 25 26 27 27 28 28 29 
0 0 1 0 1 2 0 2 1 1 3 4 4 4 4 5 6 6 6 6 7 8 9 9 9 9 10 11 12 13 14 15 16 17 18 19 12 14 16 13 15 17 18 19 20 12 15 13 16 14 17 18 19 20 21 12 16 15 14 13 17 18 19 21 20 20 
0 0 1 1 0 0 2 3 4 5 3 5 2 4 6 4 2 5 3 6 7 5 4 3 2 7 6 6 8 9 10 11 12 13 14 15 9 11 8 10 14 12 15 13 16 10 8 11 9 13 15 12 14 16 17 11 10 9 8 15 14 13 12 17 16 16 
0 0 1 0 1 2 0 2 1 1 3 4 4 4 4 5 6 7 7 6 8 5 7 6 6 7 8 9 10 11 12 13 14 15 16 17 10 12 14 11 13 15 17 16 18 10 13 11 14 12 15 17 16 18 19 10 14 13 12 11 15 16 17 19 18 18 
