# catalog_taxonomy.tsv - machine taxonomy of all closed symmetry groups, N = 3..14
# (6112 entries: 3+8+11+27+36+90+131+282+394+948+1316+2866). Produced by code/classify_catalog.cpp
# (N=14 rows from the orbit-partition decomposition catalogue materials/14Spins.txt,
#  which uses the IR canonical representative; see code/catalog_format.cpp).
#
# id      = N/o<order>.<index>; <index> is the 1-based line position inside the
#           "--- order K ---" section of the anchor catalogue file:
#             N = 8        -> materials/8Spins.txt
#             N = 11..13   -> materials/11Spins.txt, 12Spins.txt, 13Spins.txt
#             other N      -> materials/<N>Spins_generated.txt
#           NOTE: regenerating a catalogue may permute lines inside a section
#           (parallel enumeration), so the committed files are the ID anchors.
# order   = |Aut| (recomputed independently; matches every section header)
# twins   = magnetic composite sizes n_g (identical rows off the mutual edge)
# gq      = |Gamma_q| = |Aut| / prod(n_g!)  (residual factor group order)
# orbits  = vertex orbit sizes under the full Aut
# fixedpt = y: has a fixed vertex (entry inherited from level N-1 by the tower
#           theorem); n: fixed-point-free (essentially new at this N).
#           Counts of 'n' per N reproduce f(N): 1,5,3,16,9,54,41,151,112,554,368,1550.
# cyclic  = y iff an element of order |Aut| exists
# maxelt  = maximal element order in Aut
# abelian, ambivalent = y/n, computed when |Aut| <= 2000, else '-'
#           (ambivalent: every element conjugate to its inverse <=> all
#            characters real <=> X-approximation blocks combine pairwise)
id	order	twins	gq	orbits	fixedpt	cyclic	maxelt	abelian	ambivalent
3/o1.1	1	1,1,1	1	1+1+1	y	y	1	y	y
3/o2.1	2	2,1	1	2+1	y	y	2	y	y
3/o6.1	6	3	1	3	n	n	3	n	y
4/o1.1	1	1,1,1,1	1	1+1+1+1	y	y	1	y	y
4/o2.1	2	1,1,1,1	2	2+2	n	y	2	y	y
4/o2.2	2	2,1,1	1	2+1+1	y	y	2	y	y
4/o4.1	4	1,1,1,1	4	4	n	n	2	y	y
4/o4.2	4	2,2	1	2+2	n	n	2	y	y
4/o6.1	6	3,1	1	3+1	y	n	3	n	y
4/o8.1	8	2,2	2	4	n	n	4	n	y
4/o24.1	24	4	1	4	n	n	4	n	y
5/o1.1	1	1,1,1,1,1	1	1+1+1+1+1	y	y	1	y	y
5/o2.1	2	2,1,1,1	1	2+1+1+1	y	y	2	y	y
5/o2.2	2	1,1,1,1,1	2	2+2+1	y	y	2	y	y
5/o4.1	4	1,1,1,1,1	4	4+1	y	n	2	y	y
5/o4.2	4	2,2,1	1	2+2+1	y	n	2	y	y
5/o6.1	6	3,1,1	1	3+1+1	y	n	3	n	y
5/o8.1	8	2,2,1	2	4+1	y	n	4	n	y
5/o10.1	10	1,1,1,1,1	10	5	n	n	5	n	y
5/o12.1	12	3,2	1	3+2	n	n	6	n	y
5/o24.1	24	4,1	1	4+1	y	n	4	n	y
5/o120.1	120	5	1	5	n	n	6	n	y
6/o1.1	1	1,1,1,1,1,1	1	1+1+1+1+1+1	y	y	1	y	y
6/o2.1	2	2,1,1,1,1	1	2+1+1+1+1	y	y	2	y	y
6/o2.2	2	1,1,1,1,1,1	2	2+2+2	n	y	2	y	y
6/o2.3	2	1,1,1,1,1,1	2	2+2+1+1	y	y	2	y	y
6/o3.1	3	1,1,1,1,1,1	3	3+3	n	y	3	y	n
6/o4.1	4	1,1,1,1,1,1	4	4+1+1	y	n	2	y	y
6/o4.2	4	2,1,1,1,1	2	2+2+2	n	n	2	y	y
6/o4.3	4	2,2,1,1	1	2+2+1+1	y	n	2	y	y
6/o4.4	4	1,1,1,1,1,1	4	4+2	n	n	2	y	y
6/o6.1	6	1,1,1,1,1,1	6	3+3	n	n	3	n	y
6/o6.2	6	3,1,1,1	1	3+1+1+1	y	n	3	n	y
6/o6.3	6	1,1,1,1,1,1	6	6	n	n	3	n	y
6/o8.1	8	2,1,1,1,1	4	4+2	n	n	2	y	y
6/o8.2	8	2,2,2	1	2+2+2	n	n	2	y	y
6/o8.3	8	2,2,1,1	2	4+2	n	n	4	n	y
6/o8.4	8	2,2,1,1	2	4+1+1	y	n	4	n	y
6/o10.1	10	1,1,1,1,1,1	10	5+1	y	n	5	n	y
6/o12.1	12	3,2,1	1	3+2+1	y	n	6	n	y
6/o12.2	12	1,1,1,1,1,1	12	6	n	n	6	n	y
6/o16.1	16	2,2,2	2	4+2	n	n	4	n	y
6/o24.1	24	4,1,1	1	4+1+1	y	n	4	n	y
6/o36.1	36	3,3	1	3+3	n	n	6	n	y
6/o48.1	48	4,2	1	4+2	n	n	6	n	y
6/o48.2	48	2,2,2	6	6	n	n	6	n	y
6/o72.1	72	3,3	2	6	n	n	6	n	y
6/o120.1	120	5,1	1	5+1	y	n	6	n	y
6/o720.1	720	6	1	6	n	n	6	n	y
7/o1.1	1	1,1,1,1,1,1,1	1	1+1+1+1+1+1+1	y	y	1	y	y
7/o2.1	2	1,1,1,1,1,1,1	2	2+2+2+1	y	y	2	y	y
7/o2.2	2	1,1,1,1,1,1,1	2	2+2+1+1+1	y	y	2	y	y
7/o2.3	2	2,1,1,1,1,1	1	2+1+1+1+1+1	y	y	2	y	y
7/o3.1	3	1,1,1,1,1,1,1	3	3+3+1	y	y	3	y	n
7/o4.1	4	2,1,1,1,1,1	2	2+2+2+1	y	n	2	y	y
7/o4.2	4	1,1,1,1,1,1,1	4	4+2+1	y	n	2	y	y
7/o4.3	4	1,1,1,1,1,1,1	4	4+1+1+1	y	n	2	y	y
7/o4.4	4	2,2,1,1,1	1	2+2+1+1+1	y	n	2	y	y
7/o6.1	6	3,1,1,1,1	1	3+1+1+1+1	y	n	3	n	y
7/o6.2	6	1,1,1,1,1,1,1	6	3+3+1	y	n	3	n	y
7/o6.3	6	1,1,1,1,1,1,1	6	6+1	y	n	3	n	y
7/o8.1	8	2,1,1,1,1,1	4	4+2+1	y	n	2	y	y
7/o8.2	8	2,2,2,1	1	2+2+2+1	y	n	2	y	y
7/o8.3	8	2,2,1,1,1	2	4+1+1+1	y	n	4	n	y
7/o8.4	8	2,2,1,1,1	2	4+2+1	y	n	4	n	y
7/o10.1	10	1,1,1,1,1,1,1	10	5+1+1	y	n	5	n	y
7/o12.1	12	3,1,1,1,1	2	3+2+2	n	n	6	n	y
7/o12.2	12	3,2,1,1	1	3+2+1+1	y	n	6	n	y
7/o12.3	12	1,1,1,1,1,1,1	12	6+1	y	n	6	n	y
7/o14.1	14	1,1,1,1,1,1,1	14	7	n	n	7	n	y
7/o16.1	16	2,2,2,1	2	4+2+1	y	n	4	n	y
7/o20.1	20	2,1,1,1,1,1	10	5+2	n	n	10	n	y
7/o24.1	24	3,1,1,1,1	4	4+3	n	n	6	n	y
7/o24.2	24	3,2,2	1	3+2+2	n	n	6	n	y
7/o24.3	24	4,1,1,1	1	4+1+1+1	y	n	4	n	y
7/o36.1	36	3,3,1	1	3+3+1	y	n	6	n	y
7/o48.1	48	3,2,2	2	4+3	n	n	12	n	y
7/o48.2	48	4,2,1	1	4+2+1	y	n	6	n	y
7/o48.3	48	2,2,2,1	6	6+1	y	n	6	n	y
7/o72.1	72	3,3,1	2	6+1	y	n	6	n	y
7/o120.1	120	5,1,1	1	5+1+1	y	n	6	n	y
7/o144.1	144	4,3	1	4+3	n	n	12	n	y
7/o240.1	240	5,2	1	5+2	n	n	10	n	y
7/o720.1	720	6,1	1	6+1	y	n	6	n	y
7/o5040.1	5040	7	1	7	n	n	12	-	-
8/o1.1	1	1,1,1,1,1,1,1,1	1	1+1+1+1+1+1+1+1	y	y	1	y	y
8/o2.1	2	1,1,1,1,1,1,1,1	2	2+2+2+2	n	y	2	y	y
8/o2.2	2	1,1,1,1,1,1,1,1	2	2+2+2+1+1	y	y	2	y	y
8/o2.3	2	1,1,1,1,1,1,1,1	2	2+2+1+1+1+1	y	y	2	y	y
8/o2.4	2	2,1,1,1,1,1,1	1	2+1+1+1+1+1+1	y	y	2	y	y
8/o3.1	3	1,1,1,1,1,1,1,1	3	3+3+1+1	y	y	3	y	n
8/o4.1	4	1,1,1,1,1,1,1,1	4	4+2+2	n	n	2	y	y
8/o4.2	4	1,1,1,1,1,1,1,1	4	4+4	n	n	2	y	y
8/o4.3	4	1,1,1,1,1,1,1,1	4	4+2+2	n	n	2	y	y
8/o4.4	4	1,1,1,1,1,1,1,1	4	4+2+1+1	y	n	2	y	y
8/o4.5	4	1,1,1,1,1,1,1,1	4	2+2+2+2	n	n	2	y	y
8/o4.6	4	1,1,1,1,1,1,1,1	4	4+1+1+1+1	y	n	2	y	y
8/o4.7	4	2,1,1,1,1,1,1	2	2+2+2+2	n	n	2	y	y
